0:0:0:0:0:0:0:1 - - [04/Jan/2026:14:17:05 +0530] "POST /QMS-WebApp/student/AttemptById.jsp HTTP/1.1" 200 5601
0:0:0:0:0:0:0:1 - - [04/Jan/2026:14:17:22 +0530] "POST /QMS-WebApp/student/calcScore.jsp HTTP/1.1" 200 632
0:0:0:0:0:0:0:1 - - [04/Jan/2026:14:17:34 +0530] "POST /QMS-WebApp/student/saveScore.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2026:14:17:34 +0530] "GET /QMS-WebApp/student/studentMenu.jsp HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [04/Jan/2026:14:17:37 +0530] "POST /QMS-WebApp/student/studentMenu.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2026:14:17:37 +0530] "GET /QMS-WebApp/student/ViewScore.jsp HTTP/1.1" 200 582
0:0:0:0:0:0:0:1 - - [04/Jan/2026:14:17:41 +0530] "POST /QMS-WebApp/student/studentMenu.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2026:14:17:41 +0530] "GET /QMS-WebApp/index.jsp HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [04/Jan/2026:14:17:48 +0530] "POST /QMS-WebApp/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2026:14:17:48 +0530] "GET /QMS-WebApp/admin/adminMenu.jsp HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [04/Jan/2026:14:17:52 +0530] "POST /QMS-WebApp/admin/adminMenu.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2026:14:17:52 +0530] "GET /QMS-WebApp/admin/ViewResults.jsp HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [04/Jan/2026:14:17:54 +0530] "GET /QMS-WebApp/admin/ViewResults.jsp HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [04/Jan/2026:14:17:56 +0530] "POST /QMS-WebApp/admin/adminMenu.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2026:14:17:56 +0530] "GET /QMS-WebApp/index.jsp HTTP/1.1" 200 646
